vectorized_elementwise_kernel,elementwise_kernel,reduce_kernel,unrolled_elementwise_kernel,index_elementwise_kernel
0,0.68,9.87,0,9.74
0,53.15,0,0,9.74
0,0.64,60.7,0,9.9
0,53.57,60.67,0,9.74
0,0.65,60.7,0,9.72
0,53.57,37.11,0,9.77
0,0.64,0,0,9.74
0,53.4,0,0,9.72
0,0.64,0,0,9.74
0,53.23,9.9,0,9.72
0,0.58,9.9,0,9.74
0,53.63,0,0,9.79
0,0.67,60.53,0,9.72
0,53.4,60.43,0,9.74
0,0.6,60.88,0,9.81
0,53.15,37.15,0,9.72
0,0.65,0,0,9.72
0,53.71,0,0,9.77
0,0.68,0,0,9.72
0,53.41,9.88,0,9.74
0,0.62,9.97,0,9.79
0,53.2,0,0,9.72
0,0.7,60.52,0,9.77
0,53.41,60.85,0,9.81
0,0.65,60.58,0,9.72
0,53.18,37.14,0,9.74
0,0.67,0,0,9.85
0,53.88,0,0,9.72
0,0.7,0,0,9.74
0,53.68,9.97,0,9.79
0,0.66,9.86,0,9.74
0,53.44,0,0,9.79
0,0.67,60.46,0,9.81
0,53.26,60.71,0,9.74
0,0.62,60.88,0,9.79
0,53.39,37.11,0,9.74
0,0.64,0,0,9.72
0,53.37,0,0,9.77
0,0.62,0,0,9.79
0,53.54,9.86,0,9.74
0,0.64,9.94,0,9.77
0,53.66,0,0,9.81
0,0.61,60.72,0,9.74
0,53.32,60.79,0,9.77
0,0.68,60.41,0,9.77
0,53.3,37.13,0,9.72
0,0.64,0,0,9.72
0,53.5,0,0,9.85
0,0.65,0,0,9.72
0,53.32,9.97,0,9.74
0,0.65,9.97,0,9.74
0,53.37,0,0,9.72
0,0.68,60.62,0,9.72
0,53.45,60.6,0,9.79
0,0.67,60.99,0,9.72
0,53.05,37.12,0,9.83
0,0.66,0,0,9.79
0,53.43,0,0,9.72
0,0.69,0,0,9.72
0,53.67,9.95,0,9.79
0,0.67,9.96,0,9.77
0,53.32,0,0,9.72
0,0.7,60.56,0,9.79
0,53.48,60.73,0,9.72
0,0.71,60.69,0,9.77
0,53.45,37.13,0,9.74
0,0.67,0,0,9.72
0,53.3,0,0,9.72
0,0.64,0,0,9.81
0,53.53,10.01,0,9.72
0,0.62,9.9,0,9.74
0,53.65,0,0,9.77
0,0.66,60.37,0,9.74
0,53.22,60.85,0,9.74
0,0.64,60.61,0,9.72
0,53.53,37.14,0,9.72
0,0.69,0,0,9.74
0,53.34,0,0,9.87
0,0.61,0,0,9.77
0,53.41,9.92,0,9.72
0,0.66,9.94,0,9.79
0,53.48,0,0,9.74
0,0.67,60.64,0,9.74
